tract,PC#1,PC#2,PC#3,PC#4,PC#5,PC#6,PC#7,PC#8,PC#9,PC#10,PC#11,PC#12,PC#13,PC#14,PC#15,PC#16,PC#17,PC#18,PC#19
49057201302,94.77,36.45,43.65,50.51,11.41,4.55,91.17,51.20,84.13,14.15,41.94,60.46,78.99,89.28,12.78,95.97,99.57,36.96,1.11
49057201400,29.59,12.09,26.33,63.89,82.59,68.35,64.41,51.54,57.72,20.15,12.78,48.46,86.02,16.90,49.31,26.50,19.30,93.40,39.19
49057201500,29.93,58.40,28.04,81.39,63.72,83.79,94.60,95.45,22.21,29.42,9.69,44.51,47.94,88.77,90.82,21.01,13.64,68.70,33.70
49057201600,76.93,27.70,51.37,82.93,59.43,11.75,58.92,53.43,81.56,97.17,21.53,26.16,63.72,26.16,69.90,91.17,2.14,81.22,9.86
49057201700,95.11,68.01,80.36,15.01,6.95,20.15,97.51,58.06,95.97,24.96,15.69,83.79,87.22,19.81,64.41,68.18,83.96,52.57,0.26
49057201800,99.06,81.39,36.62,4.89,6.09,4.03,87.74,73.33,93.40,1.11,1.80,78.99,71.44,98.37,10.89,20.50,99.91,27.70,40.22
49057201900,94.08,85.68,32.50,79.85,24.10,0.77,7.63,99.57,49.49,6.78,10.03,29.93,52.40,91.34,9.18,96.31,5.23,30.27,2.83
49057202000,43.14,8.32,33.36,67.32,81.22,77.44,39.19,48.80,16.72,88.59,17.41,45.71,53.77,93.57,86.54,76.93,17.58,21.01,62.35
49057210100,10.03,67.50,9.35,6.26,78.47,28.22,36.11,92.37,64.58,31.30,43.14,28.22,44.00,97.00,51.37,57.38,82.42,42.97,89.28
49057210201,10.38,31.13,69.04,22.56,28.04,53.60,81.90,52.23,79.50,73.84,52.57,10.21,42.80,78.30,71.61,40.22,27.53,52.23,20.15
49057210203,18.10,51.37,28.56,20.15,44.51,22.04,45.20,77.96,86.88,65.61,39.02,7.98,19.81,51.72,64.07,79.50,48.97,54.80,76.93
49057210204,24.44,60.81,56.17,42.11,62.35,63.21,67.67,93.22,57.89,58.92,32.33,7.12,67.50,43.65,34.05,22.38,75.56,49.14,65.44
49057210302,38.68,62.18,64.58,22.90,21.18,48.11,77.96,91.17,48.28,24.27,30.10,20.33,81.05,15.87,19.81,33.53,93.57,14.32,89.45
49057210303,6.78,52.23,42.11,12.09,41.08,57.38,41.42,89.11,60.29,23.24,46.57,33.53,44.85,77.79,90.65,84.13,43.14,28.04,50.17
49057210304,35.93,52.57,72.13,44.51,19.13,61.15,87.22,66.64,26.67,62.18,6.60,54.29,52.06,70.41,83.28,96.48,65.27,90.65,7.29
49057210402,35.42,52.40,61.32,11.23,26.16,13.64,16.21,65.78,61.49,81.73,27.36,3.34,29.25,77.62,26.84,62.18,75.21,17.58,63.89
49057210403,7.98,67.32,47.94,15.52,15.35,51.54,59.43,77.10,57.20,53.09,11.06,6.43,30.62,58.23,65.78,84.31,68.52,73.67,85.33
49057210404,31.30,75.39,25.13,18.78,39.19,11.41,13.98,82.08,82.93,8.32,16.90,5.92,14.49,42.97,46.40,96.14,45.88,55.15,79.16
49057210504,17.92,51.03,67.50,16.21,22.90,55.32,35.76,75.04,45.20,52.06,27.02,20.50,66.12,67.67,44.00,83.79,76.76,49.66,73.16
49057210505,18.95,64.92,68.35,14.49,17.41,29.07,47.26,75.90,59.43,47.26,14.67,11.92,74.70,52.92,10.21,84.82,40.05,12.44,83.28
49057210506,68.52,11.58,60.98,14.84,30.79,78.30,71.44,20.33,27.36,24.44,19.98,12.78,81.22,56.69,6.09,49.49,84.31,3.52,21.53
49057210508,44.34,17.07,67.67,15.69,25.64,57.89,57.89,44.17,65.78,77.44,63.72,12.26,70.24,61.32,49.83,26.16,21.70,8.15,77.27
49057210509,59.43,22.38,56.35,24.79,26.84,47.77,66.47,68.70,56.52,91.34,61.84,4.72,80.36,77.27,6.60,43.48,75.04,12.95,72.64
49057210510,31.82,32.50,69.55,40.05,28.39,68.87,68.87,76.59,53.09,27.02,73.50,14.67,67.67,60.29,56.86,15.18,50.51,64.24,31.99
49057210511,48.28,57.72,38.68,27.87,31.65,64.75,75.39,93.57,52.23,6.43,49.83,34.73,69.55,24.27,61.15,10.21,49.14,31.99,77.79
49057210512,59.95,36.96,15.18,27.19,25.99,51.03,82.42,89.62,13.46,97.68,10.38,13.64,13.12,87.74,42.28,44.51,69.55,15.87,65.61
49057210600,46.74,44.17,54.63,77.10,56.52,27.87,55.49,78.64,65.61,37.48,33.36,6.60,81.39,67.32,13.98,54.12,34.05,29.07,96.66
49057210701,70.07,66.30,44.00,59.78,51.89,15.18,26.16,97.17,92.54,4.20,69.73,21.36,95.11,11.41,8.83,4.89,10.55,8.66,88.08
49057210703,52.57,46.40,52.23,46.57,32.16,10.03,46.91,55.32,69.04,87.91,30.45,0.60,42.62,22.90,2.83,87.22,51.89,66.12,80.53
49057210704,61.49,42.45,43.83,36.11,47.60,39.71,39.54,74.19,62.69,43.83,44.17,14.32,58.75,9.18,44.85,90.48,29.59,18.78,66.30
49057210800,88.25,33.70,60.63,72.64,38.16,44.34,75.90,67.32,31.48,22.21,25.30,19.47,71.78,71.61,23.58,64.92,13.12,24.27,10.21
49057210900,37.48,36.28,33.53,28.56,41.77,30.45,56.35,72.98,81.22,73.33,42.80,25.30,50.51,49.31,62.69,76.42,33.02,19.47,30.45
49057211000,48.80,53.26,48.28,64.41,29.25,55.83,98.20,85.85,50.34,31.13,69.90,0.77,55.49,7.12,14.15,81.39,47.08,3.34,83.45
49057211100,69.04,76.24,28.90,82.42,33.53,42.11,92.88,98.20,40.39,18.61,15.18,46.05,58.23,38.51,81.90,69.90,12.44,22.73,87.91
49057211201,18.27,61.15,37.31,39.88,53.77,34.91,45.88,90.65,40.05,39.37,23.07,15.01,25.47,73.67,41.42,15.52,65.95,51.54,88.59
49057211202,19.64,48.11,27.36,35.08,38.68,56.35,90.31,72.30,51.03,72.81,5.40,23.93,41.42,16.55,55.66,45.88,26.33,50.00,82.76
