tract,State,County,Latitude,Longitude,RUCA Urbanicity,% Insured,Population,Population Density,Avg Household Size,Unemployment,Median Age,% Male,% White,% Black,% Native,% Asian,% Hawaiian/PI,% Other Race,% Multi-race,% Hispanic/Latino,% Ed. < HS,% Ed. HS Grad.,% Ed. College Grad.,Median Income,% Poverty,MH Provider Count,MH Provider per 1000 Pop.
39035154700,OH,Cuyahoga County,,,1,90.5,2585,3231.25,2.47,22.4,34.7,45.4,4.2,94.8,0.0,0.9,0.0,0.0,0.2,1.5,26.0,39.8,34.2,18810.0,29.6,0,0
39035155101,OH,Cuyahoga County,,,1,98.4,5203,1334.10256410256,2.56,2.5,49.5,53.7,86.6,1.6,0.0,7.7,0.0,0.9,3.2,3.0,4.3,19.1,76.5,41171.0,1.8,0,0
39035155102,OH,Cuyahoga County,41.5386147,-81.4790398,1,95.1,3163,2635.83333333333,2.75,6.5,46.4,51.9,95.1,3.3,0.0,0.9,0.0,0.0,0.7,3.5,5.2,26.5,68.3,34338.0,6.6,4,1.26462219411951
39035156101,OH,Cuyahoga County,41.3969190536842,-81.6503469105263,1,97.0,1355,398.529411764706,2.46,3.8,48.4,52.0,95.6,1.6,0.0,0.8,0.0,1.7,0.3,6.0,3.8,22.5,73.7,38345.0,1.7,19,14.0221402214022
39035156102,OH,Cuyahoga County,41.38283498,-81.65234547,1,99.3,5760,944.262295081967,2.68,3.8,46.7,49.2,97.8,0.0,0.0,0.9,0.0,0.0,1.3,0.6,6.0,32.0,62.0,37097.0,2.6,1,0.173611111111111
39035160100,OH,Cuyahoga County,41.491085,-81.82338,1,98.5,1853,4632.5,2.74,2.6,39.4,48.8,96.9,0.0,0.3,2.0,0.0,0.0,0.9,4.9,2.5,9.3,88.2,53207.0,3.2,1,0.539665407447383
39035160200,OH,Cuyahoga County,,,1,94.4,2289,11445.0,2.06,5.8,30.7,46.6,81.3,9.9,0.0,0.4,0.0,0.4,8.0,4.2,5.5,16.5,77.9,36367.0,4.6,0,0
39035160300,OH,Cuyahoga County,,,1,86.6,1748,8740.0,2.22,7.3,38.4,51.7,94.4,2.1,0.3,0.0,0.8,0.4,2.1,5.1,3.6,21.2,75.0,36106.0,6.9,0,0
39035160400,OH,Cuyahoga County,41.4854361666667,-81.7989635333333,1,91.2,3252,8130.0,2.3,6.9,32.4,46.6,89.2,4.6,0.0,1.2,0.3,0.0,4.7,3.7,4.5,18.5,77.0,29775.0,13.7,3,0.922509225092251
39035160500,OH,Cuyahoga County,,,1,94.7,3740,7480.0,1.83,2.3,50.0,48.5,92.4,5.9,0.0,0.8,0.0,0.0,0.9,4.1,5.3,20.3,74.4,27294.0,11.1,0,0
39035160601,OH,Cuyahoga County,41.491353125,-81.775511875,1,93.6,5101,25505.0,1.46,9.1,41.9,42.6,84.2,11.3,0.0,3.0,0.0,0.0,1.5,8.9,3.1,12.8,84.0,32471.0,14.3,4,0.784159968633601
39035160602,OH,Cuyahoga County,41.48626,-81.7785,1,87.4,2933,14665.0,1.92,4.8,31.5,47.4,72.8,17.8,0.0,0.6,0.0,0.1,8.7,3.6,7.8,25.8,66.4,20887.0,24.4,1,0.340947834981248
39035160700,OH,Cuyahoga County,,,1,88.4,1534,7670.0,1.63,4.5,30.9,49.2,84.2,13.7,0.0,0.5,0.8,0.0,0.8,3.5,3.8,18.3,78.0,32211.0,17.4,0,0
39035160800,OH,Cuyahoga County,,,1,86.6,993,4965.0,1.85,6.4,33.1,59.0,95.9,0.6,0.2,0.4,0.0,1.2,1.7,1.2,5.0,16.3,78.7,34290.0,14.1,0,0
39035160900,OH,Cuyahoga County,41.476383,-81.81957,1,89.6,3851,6418.33333333333,2.21,2.8,34.5,48.4,92.1,2.8,0.2,0.0,0.0,1.8,3.2,5.5,4.0,21.7,74.2,35417.0,5.8,1,0.259672812256557
39035161000,OH,Cuyahoga County,,,1,87.8,1751,17510.0,2.28,8.3,33.2,53.5,91.4,4.5,0.0,1.7,0.0,0.0,2.5,5.0,3.9,19.4,76.7,35521.0,8.8,0,0
39035161100,OH,Cuyahoga County,41.4769866,-81.8079558,1,95.1,3622,9055.0,2.34,4.0,35.5,46.5,96.1,1.8,0.0,1.2,0.0,0.0,0.9,6.5,5.1,25.8,69.1,36806.0,7.8,1,0.276090557702927
39035161200,OH,Cuyahoga County,41.482708,-81.79977,1,86.1,2698,8993.33333333333,2.2,4.6,32.9,52.5,89.5,2.3,0.0,1.9,0.0,0.6,5.6,3.2,7.1,17.9,74.9,32854.0,9.6,3,1.1119347664937
39035161300,OH,Cuyahoga County,41.4848043666667,-81.7970056333333,1,94.4,2987,9956.66666666667,2.28,8.8,35.7,47.5,81.9,8.1,0.4,0.8,0.0,0.0,8.8,5.4,7.1,19.3,73.5,31368.0,20.2,3,1.00435219283562
39035161400,OH,Cuyahoga County,,,1,92.3,3127,7817.5,2.23,3.2,34.7,51.8,88.5,3.5,0.0,1.1,0.0,0.6,6.2,2.7,5.5,25.6,68.9,29620.0,7.5,0,0
39035161500,OH,Cuyahoga County,41.48221965,-81.78537275,1,85.3,3779,9447.5,2.16,9.2,33.6,52.6,91.9,4.9,0.0,1.5,0.0,0.0,1.7,3.0,7.2,20.1,72.7,25797.0,18.0,4,1.0584810796507
39035161600,OH,Cuyahoga County,,,1,82.8,2112,10560.0,2.35,6.6,37.2,46.8,77.1,10.1,0.0,1.8,0.0,1.8,9.1,3.2,7.3,33.4,59.2,24355.0,29.8,0,0
39035161700,OH,Cuyahoga County,,,1,84.7,2146,10730.0,2.47,9.9,29.4,52.1,71.1,18.9,0.0,1.5,0.0,0.7,7.8,8.7,10.6,39.3,50.1,18679.0,34.5,0,0
39035161800,OH,Cuyahoga County,,,1,88.0,1350,6750.0,2.32,7.7,30.9,52.2,69.8,7.9,1.2,16.4,0.0,0.0,4.8,5.4,37.1,31.7,31.1,16397.0,40.1,0,0
39035170101,OH,Cuyahoga County,41.5213454384615,-81.4993639615385,1,94.4,2733,4555.0,2.15,4.5,44.3,46.6,78.0,18.7,0.8,2.2,0.0,0.0,0.4,1.2,5.2,19.1,75.6,34404.0,2.9,13,4.75667764361508
39035170102,OH,Cuyahoga County,,,1,95.3,5203,4730.0,2.57,5.2,40.6,48.7,87.4,10.6,0.0,0.0,0.0,0.0,2.1,1.6,2.6,21.9,75.5,40846.0,7.2,0,0
39035170201,OH,Cuyahoga County,41.5178278666667,-81.5006869333334,1,97.1,2108,1240.0,1.85,5.4,56.0,49.8,93.5,4.1,0.0,1.4,0.0,0.0,1.0,0.6,4.0,17.8,78.1,37338.0,2.8,3,1.42314990512334
39035170202,OH,Cuyahoga County,41.501546,-81.4774,1,98.0,3692,3692.0,2.03,1.8,53.2,44.5,90.6,6.1,0.4,1.6,0.0,0.0,1.2,0.5,7.0,20.5,72.6,37829.0,3.6,3,0.812567713976165
39035171102,OH,Cuyahoga County,41.41270709,-81.56055034,1,90.8,4726,4296.36363636364,2.46,15.7,38.0,40.6,17.4,79.3,0.6,0.0,0.0,0.0,2.7,1.4,12.9,33.8,53.3,22661.0,13.4,1,0.211595429538722
39035171103,OH,Cuyahoga County,41.419575,-81.56122,1,91.4,3886,5551.42857142857,2.57,13.6,34.4,44.5,16.4,79.3,0.1,0.4,0.0,0.8,3.0,2.6,13.2,34.3,52.5,20413.0,26.5,1,0.257334019557385
39035171104,OH,Cuyahoga County,,,1,92.3,4733,7888.33333333333,2.81,13.2,30.7,46.0,7.4,86.5,0.0,0.3,0.0,0.2,5.5,1.9,5.2,49.1,45.6,21133.0,32.9,0,0
39035171203,OH,Cuyahoga County,41.402454,-81.57636,1,91.0,2677,3824.28571428571,2.31,13.0,35.0,47.8,43.0,54.7,0.0,1.8,0.0,0.0,0.5,0.0,13.4,38.2,48.4,27712.0,17.0,1,0.373552484124019
39035171204,OH,Cuyahoga County,,,1,95.2,1963,2804.28571428571,2.55,7.3,34.6,42.0,25.3,71.4,0.3,2.2,0.0,0.1,0.8,0.4,7.4,44.1,48.4,24102.0,28.4,0,0
39035171205,OH,Cuyahoga County,41.396393,-81.57511,1,93.4,2369,3384.28571428571,1.91,7.4,45.5,41.1,36.0,61.9,0.0,1.7,0.0,0.0,0.4,5.6,13.9,41.9,44.2,28390.0,12.9,2,0.844238075137189
39035171206,OH,Cuyahoga County,,,1,92.5,2331,3330.0,2.05,12.8,42.8,39.0,47.7,47.6,0.0,3.9,0.0,0.4,0.4,0.8,10.3,37.1,52.6,27548.0,10.2,0,0
39035172101,OH,Cuyahoga County,,,1,90.7,2510,5020.0,2.18,4.2,35.0,47.5,86.0,5.5,0.0,3.8,0.0,0.9,3.8,0.7,6.9,24.1,69.0,36833.0,6.9,0,0
39035172102,OH,Cuyahoga County,,,1,91.7,3609,5155.71428571429,2.15,9.7,43.5,46.5,86.3,11.1,0.0,1.2,0.0,0.2,1.1,3.2,2.2,34.1,63.6,31693.0,8.0,0,0
39035172103,OH,Cuyahoga County,41.5208701666667,-81.4349542666667,1,88.9,4767,7945.0,1.75,8.8,40.2,41.7,68.1,23.4,0.7,6.8,0.0,0.0,1.0,0.5,6.9,28.8,64.3,27456.0,12.0,3,0.629326620516048
39035172201,OH,Cuyahoga County,41.51086954,-81.46420676,1,95.7,3606,4006.66666666667,2.29,6.2,47.7,45.8,88.5,5.4,0.0,3.8,0.0,0.3,2.1,0.5,14.8,28.1,57.1,27022.0,4.4,1,0.277315585135885
39035172202,OH,Cuyahoga County,41.51124557,-81.4458682875,1,94.0,4386,2924.0,1.85,11.6,44.6,47.5,74.2,17.6,0.0,5.9,0.0,1.3,1.0,2.1,2.3,25.9,71.9,30698.0,13.0,4,0.911992704058368
39035173103,OH,Cuyahoga County,,,1,96.2,2803,2156.15384615385,2.34,5.5,49.0,47.2,91.7,4.6,0.0,0.9,0.0,1.0,1.8,6.2,6.3,30.8,62.9,28889.0,2.9,0,0
39035173104,OH,Cuyahoga County,41.37445263,-81.82919936,1,97.4,4289,1478.96551724138,1.92,4.2,53.5,46.6,93.1,2.7,0.8,0.2,0.0,3.3,0.0,7.8,6.7,32.6,60.7,37635.0,4.1,10,2.33154581487526
39035173105,OH,Cuyahoga County,,,1,94.9,2546,4243.33333333333,2.76,4.7,50.4,49.2,92.9,0.9,0.2,4.7,0.0,0.2,1.0,3.6,11.5,31.7,56.8,31890.0,5.2,0,0
39035173106,OH,Cuyahoga County,41.3532996,-81.8131353,1,97.4,3752,4168.88888888889,2.27,6.9,34.7,50.5,60.9,3.3,1.5,30.8,0.0,3.0,0.4,5.2,5.3,26.1,68.6,32537.0,5.9,2,0.533049040511727
39035173107,OH,Cuyahoga County,41.3714511088889,-81.8324294155556,1,90.7,2334,972.5,2.3,8.5,47.3,50.6,96.9,1.1,0.0,0.9,0.0,0.0,1.1,5.0,11.1,25.1,63.8,30816.0,0.9,9,3.8560411311054
39035174103,OH,Cuyahoga County,,,1,91.0,3083,1541.5,2.48,2.5,48.5,54.2,94.0,1.1,0.0,4.7,0.0,0.0,0.3,4.1,10.3,29.6,60.1,29590.0,9.7,0,0
