tract,state,county,avg_lat,avg_long,primary_ruca,perc_insured,total_pop,pop_density,avg_household_size,unemployment_rate,median_age,male,white_race,black_race,native_race,asian_race,hawaii_pacific_race,other_race,multiple_races,hispanic_latino,ed_less_than_hs,ed_hs_grad,ed_college_plus,median_income,below_poverty,prov_count,prov_density
37015960300,NC,Bertie County,,,10,86.1,3383,16.7724343083788,2.57,12.3,47.5,53.0,20.2,78.0,0.0,0.2,0.0,0.4,1.2,1.2,25.2,46.4,28.3,18036.0,17.6,0,0
37015960400,NC,Bertie County,36.002087,-76.950914,7,84.4,7790,38.0185456320156,2.46,16.6,42.6,54.1,32.4,64.7,1.0,1.1,0.0,0.2,0.6,4.1,28.6,32.7,38.7,15695.0,26.7,1,0.128369704749679
37017950100,NC,Bladen County,,,10,89.2,5484,17.3489402087947,2.27,10.4,44.6,50.6,75.8,19.0,1.0,0.0,0.0,3.7,0.5,3.3,23.1,30.4,46.4,22393.0,26.0,0,0
37017950200,NC,Bladen County,,,8,83.6,3345,24.1167988464311,2.49,4.2,42.2,46.1,57.7,34.6,0.0,0.0,0.0,6.3,1.4,10.1,22.6,31.2,46.3,19856.0,22.5,0,0
37017950300,NC,Bladen County,,,2,81.8,6479,74.0457142857143,2.55,13.7,41.6,46.2,60.3,28.4,0.8,0.0,0.0,8.9,1.6,19.6,24.5,25.7,49.7,16222.0,36.4,0,0
37017950400,NC,Bladen County,34.62835,-78.603935,7,90.4,5961,112.684310018904,2.2,9.6,45.4,45.4,43.2,52.9,1.5,0.0,0.0,1.3,1.1,2.3,21.6,25.5,52.8,15459.0,39.3,1,0.167757087736957
37017950500,NC,Bladen County,,,10,88.3,6887,82.0858164481526,2.54,7.5,45.4,46.2,72.4,24.9,0.6,0.0,0.0,0.8,1.4,4.4,18.2,34.2,47.7,21554.0,18.1,0,0
37017950600,NC,Bladen County,,,9,80.7,6298,32.2643442622951,2.39,7.1,42.1,50.3,36.1,50.5,9.2,0.3,0.0,2.5,1.4,5.6,20.2,43.9,35.9,18962.0,25.1,0,0
37019020101,NC,Brunswick County,,,2,76.0,2891,95.0986842105263,2.78,10.1,40.3,50.5,48.1,43.1,0.2,0.3,0.0,2.9,5.4,9.0,14.4,38.9,46.6,19059.0,19.5,0,0
37019020102,NC,Brunswick County,,,1,85.1,3560,243.835616438356,2.62,15.8,38.1,44.2,79.2,12.6,2.1,0.0,0.0,1.9,4.2,4.6,11.3,38.7,49.9,23233.0,19.5,0,0
37019020103,NC,Brunswick County,34.2172663,-78.0361295,1,89.1,7582,435.747126436782,2.2,6.0,52.3,49.0,85.1,7.4,1.2,2.9,0.0,2.2,1.3,4.1,8.5,20.5,70.9,29819.0,11.6,2,0.263782643102084
37019020104,NC,Brunswick County,,,1,84.8,6334,696.043956043956,3.02,9.0,32.9,45.8,58.1,19.4,0.3,0.0,6.3,12.6,3.5,15.9,24.7,25.3,50.0,20136.0,29.3,0,0
37019020201,NC,Brunswick County,,,1,88.1,4036,1121.11111111111,2.73,6.4,35.3,48.3,69.1,22.0,0.0,4.3,0.0,3.1,1.5,6.4,8.1,24.4,67.5,27838.0,11.0,0,0
37019020202,NC,Brunswick County,,,1,94.4,7342,93.2909783989835,2.5,8.3,45.1,49.8,85.7,9.5,0.0,1.4,0.0,0.9,2.5,1.6,7.9,20.0,72.1,30210.0,10.1,0,0
37019020203,NC,Brunswick County,,,2,83.6,2466,109.115044247788,2.42,11.8,42.2,50.9,79.2,16.4,1.8,0.3,0.6,1.7,0.0,3.8,14.9,30.8,54.3,26919.0,14.1,0,0
37019020204,NC,Brunswick County,33.9607183,-78.0808796,4,81.2,6193,112.395644283122,2.61,6.6,36.9,50.2,85.4,2.3,0.1,0.6,0.0,7.3,4.3,7.4,13.7,27.4,58.9,23298.0,8.8,1,0.161472630389149
