county,perc_insured,avg_household_size,unemployment_rate,median_age,male,white_race,black_race,native_race,asian_race,hispanic_latino,poor_english,ed_hs_plus,ed_college_plus,median_income,below_poverty,lat,lon,prov_density
48309,83.5,2.68,5.6,33,48.8,76.9,14.4,0.4,1.6,25.1,9.2,83.9,55.4,22574,19.9,31.549493,-97.201472,0.501244895
48311,86.3,2.88,15.2,39.6,54.4,94.8,0,0.9,0,48.1,9.3,81.5,46.9,24099,8.8,28.384922,-98.578853,0
48313,80.9,2.28,3.9,35.5,63.3,72.9,18.5,0.1,0.9,22.2,7.4,77.6,40.7,24336,16.5,30.966878,-95.930372,0
48315,81.8,2.29,9,49.2,49.2,74.3,23.8,0.3,0.8,3.8,0.9,80.2,40.7,19441,21.6,32.798182,-94.356853,0
48317,77.7,3.3,3.4,32,51.1,82.9,0.7,2.4,0,46.1,9.2,77.2,46.6,24926,10.6,32.30983,-101.961836,0
48319,78,2.4,4.4,49.9,51.6,89.7,0,0.6,2.7,24.9,7.9,89.1,55.4,22336,14.9,30.703229,-99.237613,0
48321,78.5,2.66,6,37.1,49.4,76.8,10.6,0.3,2.1,40.7,12.4,77.7,44.3,21590,21.7,28.77476,-96.001532,0.027233857
48323,68.9,3.47,12.4,29.7,49.5,92.8,0.2,1.1,0.5,95.4,42.3,58.7,37.7,17039,24.7,28.729787,-100.316678,0.03519268
48325,85.9,3.01,6,38.6,52.4,90.6,2.3,0.5,0.5,50.8,6.8,82.5,50.8,23923,14,29.353661,-99.111085,0.020868114
48327,69.8,2.25,8.4,41.8,53.2,81.9,1.3,1.6,0,39.4,8.3,78.9,42.9,20833,13.4,30.884392,-99.853962,0
48329,80.3,2.85,3.6,31.9,50,82.8,6.2,0.4,1.8,42.3,9.7,83.5,59,34495,7.9,31.870896,-102.024326,0.134773484
48331,85.5,2.54,9.6,41.8,49.8,82.7,8.5,0.4,0.5,25.3,4.4,80.3,43.6,21826,15.5,30.791242,-96.984395,0.082061382
48333,86.1,2.51,3.9,46.1,47.9,98.7,0.3,0,0.1,17.1,7.3,83.2,56.1,20955,14.5,31.494888,-98.594623,0
48335,81.7,2.45,6,35.5,61.7,79.2,10.8,0.5,0.8,39.2,7.9,74.8,40.9,20848,10.2,32.304117,-100.924392,0
48337,78.4,2.36,6,43.9,48.9,95.6,0.1,0.2,0.1,10.4,4.4,82.1,46.5,24243,16.1,33.678356,-97.725014,0
48339,84.7,2.87,5.4,36.6,49.5,86.4,4.4,0.4,2.6,22.4,7.7,86.7,62.6,32803,11,30.300611,-95.494719,0.254409279
48341,80.5,3.25,3.9,31.1,51.5,76.6,3.7,0.5,8.5,53.3,21.9,63.9,38.7,25803,17.8,35.835676,-101.890502,0
