tract,State,County,Latitude,Longitude,RUCA Urbanicity,% Insured,Population,Population Density,Avg Household Size,Unemployment,Median Age,% Male,% White,% Black,% Native,% Asian,% Hawaiian/PI,% Other Race,% Multi-race,% Hispanic/Latino,% Ed. < HS,% Ed. HS Grad.,% Ed. College Grad.,Median Income,% Poverty,MH Provider Count,MH Provider per 1000 Pop.
21111012604,KY,Jefferson County,38.18768083,-85.83979807,1,89.9,5698,3798.66666666667,2.59,11.4,39.6,45.4,43.5,51.7,0.0,0.0,0.0,0.0,4.8,2.9,18.0,30.7,51.3,25508.0,11.4,2,0.351000351000351
21111012701,KY,Jefferson County,,,1,85.9,3217,869.459459459459,2.16,12.2,43.4,47.8,39.8,53.7,0.0,0.0,0.0,1.9,4.5,5.3,20.9,44.7,34.5,21231.0,21.5,0,0
21111012702,KY,Jefferson County,,,1,88.9,1972,730.37037037037,2.62,10.5,41.6,55.9,81.9,13.1,0.0,0.0,0.0,0.7,4.2,7.0,19.1,51.9,28.9,22075.0,24.8,0,0
21111012703,KY,Jefferson County,,,1,88.5,5898,999.661016949153,2.49,9.0,37.2,48.1,82.0,14.4,0.4,0.2,0.0,0.0,3.0,3.5,17.7,35.5,46.8,30351.0,18.3,0,0
21111012801,KY,Jefferson County,,,1,92.6,2953,2271.53846153846,2.39,6.1,38.2,54.4,20.8,76.8,0.0,0.2,0.0,0.0,2.3,0.2,18.6,31.6,49.8,18481.0,29.4,0,0
21111012802,KY,Jefferson County,,,1,87.0,2285,2285.0,2.29,10.7,39.7,46.5,25.7,69.3,0.0,0.0,0.0,1.8,3.2,5.8,25.6,33.0,41.3,22688.0,32.7,0,0
21111013100,KY,Jefferson County,38.223810175,-85.674253345,1,97.2,2018,5045.0,2.4,2.4,44.9,48.4,96.3,0.6,0.7,1.0,0.0,0.2,1.2,0.7,0.6,8.5,91.0,48563.0,2.5,2,0.991080277502478
21111980100,KY,Jefferson County,38.17545923,-85.71978756,99,,0,0.0,,,,,,,,,,,,,,,0,,,1,0
21113060101,KY,Jessamine County,37.88962334,-84.5806493,2,92.1,7765,1386.60714285714,2.68,8.3,38.4,49.2,94.9,2.0,0.6,0.8,0.0,1.0,0.7,3.7,14.2,31.3,54.5,23419.0,19.0,2,0.25756600128783
21113060102,KY,Jessamine County,,,2,92.7,7134,792.666666666667,2.73,7.1,36.5,48.4,92.5,6.3,0.0,0.7,0.0,0.0,0.5,0.9,21.7,26.3,52.1,25006.0,24.6,0,0
