county,Latitude,Longitude,% Insured,Population,Avg. Household Size,Unemployment,Median Age,% Male,% White,% Black,% Native,% Asian,% Hawaiian/PI,% Other Race,% Multi-Race,% Hispanic/Latino,% Education < HS,% HS Grad or Higher,% Some College or Higher,Median Income,% Poverty,MH Provider Count, MH Providers per 1000 Pop.
39049,40.01265145,-83.0099512,89.8,1232118,2.46,6.3,33.9,48.8,68.3,21.7,0.2,4.6,0,1.5,3.7,5.1,9.6,25,65.4,29984,17.1,1241,1.007208725
39051,41.52033479,-84.25695052,94.8,42466,2.59,6.2,40,49.6,94.2,0.5,0.1,0.4,0,3.3,1.3,8.2,9.6,42,48.5,26981,11.2,21,0.494513258
39053,38.84191692,-82.27242177,87.9,30376,2.57,7.2,40.5,48.9,94.8,2.7,0.3,0.7,0.1,0.1,1.3,1.2,19.5,40.4,40.1,21565,21.4,12,0.395048723
39055,41.50965083,-81.24988718,89.3,94020,2.67,4,44.2,49.3,96.7,1.3,0.1,0.7,0,0.1,1.2,1.3,8.9,27,64.1,33434,6.9,45,0.47862157
39057,39.77354749,-84.01619762,93.6,164325,2.41,6.5,38,49.1,86.3,7.1,0.1,2.9,0,0.5,3.1,2.6,7.4,25.2,67.4,29358,12.8,198,1.204929256
39059,40.04465137,-81.57049176,90.3,39478,2.45,9.3,42.3,49.4,95.8,1.3,0.2,0.3,0,0.2,2.1,1.1,15.5,42.3,42.2,22398,19.8,10,0.253305639
39061,39.1640397,-84.47840242,91.7,805965,2.35,7.9,37,48.1,68.2,25.8,0.1,2.4,0,0.9,2.5,2.9,9.9,27,63.1,27906,17.8,1066,1.32263808
39063,41.04539949,-83.65354018,92.9,75672,2.34,5.5,38.9,49.1,93,1.4,0.1,1.7,0,1.3,2.5,5.1,7.5,36.4,56.1,27431,13.5,22,0.290728407
39065,40.73143023,-83.74705567,89.4,31652,2.53,8.2,35.8,49.9,96.4,0.6,0.1,0.8,0,0.3,1.7,1.5,10.6,48.9,40.6,22032,15.6,3,0.094780741
39067,40.278706,-81.00531,89.7,15521,2.44,4.6,46.2,49.5,95.9,2,0.2,0.3,0,0.2,1.4,0.8,14.1,47.2,38.6,23997,18.1,1,0.064428838
39069,41.40192714,-84.08695155,93.6,27890,2.49,5.3,41.4,49.3,94.6,0.5,0.1,0.4,0,2.3,2,7.3,8.7,44.3,47,29119,10.2,10,0.358551452
39071,39.2436352,-83.5661974,88.7,43109,2.56,9.6,40.2,49.3,96.1,1.2,0.1,0.4,0,0.1,2.1,0.9,16.1,43.2,40.7,20972,20.7,5,0.115985061
