tract,PC#1,PC#2,PC#3,PC#4,PC#5,PC#6,PC#7,PC#8,PC#9,PC#10,PC#11,PC#12,PC#13,PC#14,PC#15,PC#16,PC#17,PC#18,PC#19
44003020102,54.79,71.88,50.21,43.54,38.96,87.29,12.29,86.88,27.71,25.21,37.29,54.38,33.12,53.12,52.29,26.46,25.63,32.29,42.29
44003020200,53.96,36.88,83.96,27.29,61.46,88.96,18.96,72.71,18.12,55.21,53.96,46.46,83.12,71.46,72.29,87.71,29.79,57.71,96.46
44003020300,72.29,71.04,68.54,15.63,12.29,85.62,8.54,95.62,11.46,81.88,17.29,94.79,15.21,31.88,95.21,22.29,54.38,26.46,81.04
44003020400,57.71,77.29,32.71,43.96,44.79,61.46,16.46,86.04,17.71,88.54,30.63,92.71,79.38,85.62,89.79,92.71,72.29,53.12,45.62
44003020500,56.88,51.46,57.29,13.54,45.62,46.04,42.71,38.96,6.04,94.38,26.04,58.12,65.62,50.21,89.38,80.62,66.04,32.71,13.96
44003020601,41.88,78.54,11.88,36.88,66.88,31.46,25.21,91.04,38.54,69.79,20.21,63.54,42.29,54.79,69.79,73.96,53.12,38.12,80.62
44003020602,38.54,76.88,45.62,10.62,9.38,55.62,11.46,65.21,15.21,58.96,62.29,47.71,50.21,30.21,71.46,28.96,17.29,25.63,80.21
44003020603,43.12,85.62,20.63,58.54,43.96,75.21,9.38,58.12,5.21,91.46,36.04,93.12,83.96,84.79,48.12,77.29,28.12,68.12,34.38
44003020604,39.38,57.29,51.88,12.29,28.12,33.96,26.04,96.46,59.79,28.54,23.12,31.46,66.04,84.38,49.38,69.38,60.62,13.13,45.21
44003020701,13.96,92.71,26.46,2.29,88.54,83.54,41.88,58.96,61.88,19.38,69.79,3.13,50.62,81.46,19.38,21.04,51.04,51.46,72.71
44003020702,9.38,94.38,6.46,28.96,86.46,90.62,27.29,63.96,75.21,17.71,51.88,20.21,40.62,63.96,59.79,53.54,20.63,5.21,79.79
44003020703,23.54,82.29,27.71,31.88,58.12,39.79,16.04,82.29,25.21,68.12,72.71,49.79,60.62,67.71,13.96,73.12,80.62,53.96,50.62
44003020800,16.87,93.54,33.54,19.38,94.79,45.21,83.54,65.62,36.46,65.21,53.54,76.04,80.21,38.12,94.79,57.71,25.21,17.29,77.29
44003020901,21.46,58.12,68.12,64.38,19.38,44.38,52.29,69.38,26.46,31.88,78.12,89.38,72.29,28.96,78.54,93.54,61.88,86.88,27.29
44003020903,6.04,75.62,23.96,66.88,95.21,7.29,86.88,63.12,21.04,24.79,66.04,56.88,54.38,14.79,83.54,34.79,73.54,24.38,35.62
44003020904,5.21,69.38,58.96,76.88,87.29,9.38,71.04,53.96,53.96,24.38,79.79,53.54,40.21,27.29,51.04,68.12,71.04,86.04,88.54
